# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

canonic_questionnaire_central.scoring.modules.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.structural|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.integrity|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.epistemic|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.contrast|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.operational|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.consumption|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.orchestration|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.validators.depuration|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.wiring.wiring_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.harmonization.harmonization_validator|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_validator|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central.validations.pdet_validator|ERA_UNKNOWN|LIVE|N/A
py_compile|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_two.phase2_60_00_base_executor_with_contract|ERA_MODERN|DEAD|N/A
scipy|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.core.canonical_notation|ERA_MODERN|LIVE|N/A
sentence_transformers|ERA_UNKNOWN|DEAD|N/A
sklearn.metrics.pairwise|ERA_UNKNOWN|DEAD|N/A
collections.abc|ERA_UNKNOWN|DEAD|N/A
numpy.typing|ERA_UNKNOWN|DEAD|N/A
retry_handler|ERA_UNKNOWN|DEAD|N/A
decimal|ERA_UNKNOWN|DEAD|N/A
img2table.document|ERA_UNKNOWN|DEAD|N/A
pymc|ERA_UNKNOWN|DEAD|N/A
spacy|ERA_UNKNOWN|DEAD|N/A
tabula|ERA_UNKNOWN|DEAD|N/A
torch|ERA_UNKNOWN|DEAD|N/A
sklearn.cluster|ERA_UNKNOWN|DEAD|N/A
sklearn.feature_extraction.text|ERA_UNKNOWN|DEAD|N/A
transformers|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.constants|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.analysis.factory|ERA_MODERN|DEAD|N/A
econml.dml|ERA_UNKNOWN|DEAD|N/A
econml.metalearners|ERA_UNKNOWN|DEAD|N/A
sklearn.ensemble|ERA_UNKNOWN|DEAD|N/A
sklearn.linear_model|ERA_UNKNOWN|DEAD|N/A
dowhy|ERA_UNKNOWN|DEAD|N/A
matplotlib.pyplot|ERA_UNKNOWN|DEAD|N/A
nltk.corpus|ERA_UNKNOWN|DEAD|N/A
nltk.tokenize|ERA_UNKNOWN|DEAD|N/A
nltk|ERA_UNKNOWN|DEAD|N/A
PyPDF2|ERA_UNKNOWN|DEAD|N/A
docx|ERA_UNKNOWN|DEAD|N/A
causalnex.inference|ERA_UNKNOWN|DEAD|N/A
causalnex.network|ERA_UNKNOWN|DEAD|N/A
causalnex.structure|ERA_UNKNOWN|DEAD|N/A
causalnex.structure.notears|ERA_UNKNOWN|DEAD|N/A
networkx.drawing.nx_pydot|ERA_UNKNOWN|DEAD|N/A
pickle|ERA_UNKNOWN|DEAD|N/A
fitz|ERA_UNKNOWN|DEAD|N/A
pydot|ERA_UNKNOWN|DEAD|N/A
rapidfuzz|ERA_UNKNOWN|DEAD|N/A
scipy.spatial.distance|ERA_UNKNOWN|DEAD|N/A
scipy.special|ERA_UNKNOWN|DEAD|N/A
dnp_integration|ERA_UNKNOWN|DEAD|N/A
inference.bayesian_adapter|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.analysis.retry_handler|ERA_MODERN|DEAD|N/A
farfan_pipeline.methods.embedding_cache_sota|ERA_MODERN|LIVE|N/A
contradiction_deteccion|ERA_UNKNOWN|DEAD|N/A
financiero_viabilidad_tablas|ERA_UNKNOWN|DEAD|N/A
scipy.stats|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.data_models.unit_of_analysis|ERA_MODERN|LIVE|N/A
unicodedata|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_00_02_runtime_error_fixes|ERA_MODERN|DEAD|N/A
farfan_pipeline.methods.financiero_viabilidad_tablas|ERA_MODERN|LIVE|N/A
farfan_pipeline.analysis.contradiction_deteccion|ERA_MODERN|DEAD|N/A
farfan_pipeline.methods.config_schemas|ERA_MODERN|LIVE|N/A
jsonschema|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.analysis.spc_causal_bridge|ERA_MODERN|DEAD|N/A
.calibration_core|ERA_UNKNOWN|DEAD|N/A
.epistemic_core|ERA_UNKNOWN|DEAD|N/A
.registry|ERA_UNKNOWN|DEAD|N/A
.type_defaults|ERA_UNKNOWN|DEAD|N/A
.pdm_calibrator|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_10_00_paths|ERA_MODERN|LIVE|N/A
farfan_pipeline.utils.paths|ERA_MODERN|LIVE|N/A
farfan_pipeline.entrypoint.main|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration.cli|ERA_MODERN|LIVE|N/A
.scope_alignment_gate|ERA_UNKNOWN|DEAD|N/A
.value_add_gate|ERA_UNKNOWN|DEAD|N/A
.capability_gate|ERA_UNKNOWN|DEAD|N/A
.irrigation_channel_gate|ERA_UNKNOWN|DEAD|N/A
.gate_orchestrator|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_03.contracts.phase3_10_02_output_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.registries.questionnaire_signal_registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.contracts.phase3_10_00_input_contract|ERA_MODERN|LIVE|N/A
.trigger_registry|ERA_UNKNOWN|DEAD|N/A
.subphase_triggers|ERA_UNKNOWN|DEAD|N/A
.contract_triggers|ERA_UNKNOWN|DEAD|N/A
.extraction_triggers|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.methods.contradiction_detector|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.methods.temporal_logic|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.methods.bayesian_calculator|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.methods.municipal_analyzer|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles|ERA_MODERN|LIVE|N/A
.equipment_auditor|ERA_UNKNOWN|DEAD|N/A
.audit_runner|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.orchestration.audit|ERA_MODERN|LIVE|N/A
blake3|ERA_UNKNOWN|DEAD|N/A
.gates|ERA_UNKNOWN|DEAD|N/A
.factory|ERA_UNKNOWN|DEAD|N/A
.sisas_integration_hub|ERA_UNKNOWN|DEAD|N/A
dotenv|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_07.phase7_10_00_macro_score|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_types|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.phase5_10_00_area_aggregation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.phase6_10_00_cluster_score|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_07.phase7_20_00_macro_aggregator|ERA_MODERN|LIVE|N/A
orchestration.aggregation_integration|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.base_consumer|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase0.phase0_90_02_bootstrap|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase1.phase1_11_00_signal_enrichment|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase2.phase2_contract_consumer|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase2.phase2_evidence_consumer|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase2.phase2_executor_consumer|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase3.phase3_10_00_signal_enriched_scoring|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase8.phase8_30_00_signal_enriched_recommendations|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.structural_marker_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.quantitative_triplet_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.normative_reference_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.programmatic_hierarchy_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.population_disaggregation_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.temporal_consistency_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.semantic_relationship_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_irrigator|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_evidence_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_enhancement_integrator|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_intelligence_layer|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_quality_metrics|ERA_MODERN|LIVE|N/A
farfan_pipeline.analysis.cross_document_comparative|ERA_MODERN|DEAD|N/A
flask|ERA_UNKNOWN|DEAD|N/A
difflib|ERA_UNKNOWN|DEAD|N/A
httpx|ERA_UNKNOWN|DEAD|N/A
.api_v1_schemas|ERA_UNKNOWN|DEAD|N/A
.api_v1_utils|ERA_UNKNOWN|DEAD|N/A
.pdet_colombia_data|ERA_UNKNOWN|DEAD|N/A
..api.dashboard_data_service|ERA_UNKNOWN|DEAD|N/A
sse_starlette.sse|ERA_UNKNOWN|DEAD|N/A
.api_v1_errors|ERA_UNKNOWN|DEAD|N/A
.api_v1_store|ERA_UNKNOWN|DEAD|N/A
fastapi.exception_handlers|ERA_UNKNOWN|DEAD|N/A
fastapi.exceptions|ERA_UNKNOWN|DEAD|N/A
starlette.exceptions|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.dashboard_atroz_.api_v1_errors|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.api_v1_router|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.auth_router|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals|ERA_MODERN|LIVE|N/A
secrets|ERA_UNKNOWN|DEAD|N/A
bcrypt|ERA_UNKNOWN|DEAD|N/A
spacy.pipeline|ERA_UNKNOWN|DEAD|N/A
..api.api_server|ERA_UNKNOWN|DEAD|N/A
..api.pipeline_connector|ERA_UNKNOWN|DEAD|N/A
.auth_admin|ERA_UNKNOWN|DEAD|N/A
flask_cors|ERA_UNKNOWN|DEAD|N/A
flask_socketio|ERA_UNKNOWN|DEAD|N/A
werkzeug.utils|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.api.api_server|ERA_MODERN|LIVE|N/A
fastapi.middleware.cors|ERA_UNKNOWN|DEAD|N/A
arviz|ERA_UNKNOWN|DEAD|N/A
.bayesian_prior_builder|ERA_UNKNOWN|DEAD|N/A
.bayesian_sampling_engine|ERA_UNKNOWN|DEAD|N/A
.bayesian_adapter|ERA_UNKNOWN|DEAD|N/A
.bayesian_diagnostics|ERA_UNKNOWN|DEAD|N/A
pylint.checkers|ERA_UNKNOWN|DEAD|N/A
pylint.interfaces|ERA_UNKNOWN|DEAD|N/A
.pylint_unreachable_fallback|ERA_UNKNOWN|DEAD|N/A
mypy.plugin|ERA_UNKNOWN|DEAD|N/A
mypy.types|ERA_UNKNOWN|DEAD|N/A
base64|ERA_UNKNOWN|DEAD|N/A
html|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_09.report_assembly|ERA_MODERN|DEAD|N/A
jinja2|ERA_UNKNOWN|DEAD|N/A
weasyprint|ERA_UNKNOWN|DEAD|N/A
matplotlib|ERA_UNKNOWN|DEAD|N/A
.phase9_input_contract|ERA_UNKNOWN|DEAD|N/A
.phase9_mission_contract|ERA_UNKNOWN|DEAD|N/A
.phase9_output_contract|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_09.phase9_10_00_report_assembly|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_09.phase9_10_00_report_generator|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_09.phase9_15_00_institutional_entity_annex|ERA_MODERN|LIVE|N/A
.|ERA_UNKNOWN|LIVE|N/A
.PHASE_9_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
.phase9_10_00_phase_9_constants|ERA_UNKNOWN|DEAD|N/A
.phase9_10_00_report_assembly|ERA_UNKNOWN|DEAD|N/A
.phase9_10_00_report_generator|ERA_UNKNOWN|DEAD|N/A
.phase9_10_00_signal_enriched_reporting|ERA_UNKNOWN|DEAD|N/A
.phase9_15_00_institutional_entity_annex|ERA_UNKNOWN|DEAD|N/A
.report_generator|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.calibration.parameters|ERA_MODERN|DEAD|N/A
farfan_pipeline.utils.hash_utils|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_10_03_executor_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_60_02_arg_router|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.primitives.providers|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_90_03_wiring_validator|ERA_MODERN|LIVE|N/A
.primitives.constants|ERA_BOOTSTRAP|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_90_02_bootstrap|ERA_MODERN|LIVE|N/A
.primitives.phase0_00_03_primitives|ERA_BOOTSTRAP|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_10_04_runtime_config_typed|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_50_00_boot_checks|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.primitives.performance_metrics|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.primitives.json_logger|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.primitives.coverage_gate|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.primitives.signature_validator|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.primitives.runtime_error_fixes|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.primitives.schema_monitor|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.primitives.constants|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_90_00_main|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_00_03_protocols|ERA_MODERN|LIVE|N/A
.phase0_90_01_verified_pipeline_runner|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.methods.contradiction_deteccion|ERA_MODERN|LIVE|N/A
doctest|ERA_UNKNOWN|DEAD|N/A
contextlib|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_00_03_primitives|ERA_MODERN|DEAD|N/A
farfan_pipeline.utils.contract_io|ERA_MODERN|DEAD|N/A
io|ERA_UNKNOWN|DEAD|N/A
fitz  # PyMuPDF|ERA_UNKNOWN|DEAD|N/A
hmac|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.orchestration.seed_registry|ERA_MODERN|LIVE|N/A
importlib.resources|ERA_UNKNOWN|DEAD|N/A
.resource_controller|ERA_UNKNOWN|DEAD|N/A
.phase0_10_01_runtime_config|ERA_UNKNOWN|DEAD|N/A
.phase7_10_00_phase_7_constants|ERA_UNKNOWN|DEAD|N/A
.phase7_input_contract|ERA_UNKNOWN|DEAD|N/A
.phase7_mission_contract|ERA_UNKNOWN|DEAD|N/A
.phase7_output_contract|ERA_UNKNOWN|DEAD|N/A
.phase7_10_00_macro_score|ERA_UNKNOWN|DEAD|N/A
.phase7_20_00_macro_aggregator|ERA_UNKNOWN|DEAD|N/A
.phase7_10_00_systemic_gap_detector|ERA_UNKNOWN|DEAD|N/A
.contracts|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_07.phase7_10_00_phase_7_constants|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_07.phase7_10_00_systemic_gap_detector|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_07.contracts|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.phase3_10_00_normative_compliance_validator|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_05.phase5_00_00_area_score|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.contracts.phase6_input_contract|ERA_MODERN|DEAD|N/A
.phase6_10_00_phase_6_constants|ERA_UNKNOWN|DEAD|N/A
.phase6_10_01_scoring_config|ERA_UNKNOWN|DEAD|N/A
.phase6_10_00_cluster_score|ERA_UNKNOWN|DEAD|N/A
.phase6_20_00_adaptive_meso_scoring|ERA_UNKNOWN|DEAD|N/A
.phase6_30_00_cluster_aggregator|ERA_UNKNOWN|DEAD|N/A
.contracts.phase6_input_contract|ERA_UNKNOWN|DEAD|N/A
.contracts.phase6_mission_contract|ERA_UNKNOWN|DEAD|N/A
.contracts.phase6_output_contract|ERA_UNKNOWN|DEAD|N/A
.phase1_protocols|ERA_UNKNOWN|DEAD|N/A
.phase1_types|ERA_UNKNOWN|DEAD|N/A
.PHASE_1_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_10_01_constitutional_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_10_00_input_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_10_02_mission_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_10_03_output_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.uoa_sensitive|ERA_MODERN|DEAD|N/A
farfan_pipeline.calibration.runtime_context|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.primitives.streaming_extractor|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_mission_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.phase1_07_01_colombian_pdm_enhancer|ERA_MODERN|LIVE|N/A
.phase1_13_00_cpp_ingestion|ERA_UNKNOWN|DEAD|N/A
.phase1_03_00_models|ERA_UNKNOWN|DEAD|N/A
.phase1_05_00_thread_safe_results|ERA_UNKNOWN|DEAD|N/A
.primitives|ERA_BOOTSTRAP|DEAD|N/A
.phase1_06_00_questionnaire_mapper|ERA_UNKNOWN|DEAD|N/A
.phase1_07_00_sp4_question_aware|ERA_UNKNOWN|DEAD|N/A
.phase1_12_01_pdm_integration|ERA_UNKNOWN|DEAD|N/A
.phase1_07_01_colombian_pdm_enhancer|ERA_UNKNOWN|DEAD|N/A
.primitives.truncation_audit|ERA_BOOTSTRAP|DEAD|N/A
.primitives.streaming_extractor|ERA_BOOTSTRAP|DEAD|N/A
.phase1_01_00_cpp_models|ERA_UNKNOWN|DEAD|N/A
.phase1_09_00_circuit_breaker|ERA_UNKNOWN|DEAD|N/A
langdetect|ERA_UNKNOWN|DEAD|N/A
fitz  # PyMuPDF for PDF extraction|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_quality_metrics|ERA_MODERN|DEAD|N/A
.phase1_11_00_signal_enrichment|ERA_UNKNOWN|DEAD|N/A
.phase1_12_00_structural|ERA_UNKNOWN|DEAD|N/A
.streaming_extractor|ERA_UNKNOWN|DEAD|N/A
.truncation_audit|ERA_UNKNOWN|DEAD|N/A
.colombian_pdm_guards|ERA_UNKNOWN|DEAD|N/A
..PHASE_1_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
platform|ERA_UNKNOWN|DEAD|N/A
psutil  # type: ignore|ERA_UNKNOWN|DEAD|N/A
glob|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.calibration.decorators|ERA_MODERN|LIVE|N/A
.interface_validator|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_eight.phase8_20_00_recommendation_engine|ERA_MODERN|DEAD|N/A
.phase8_00_00_data_models|ERA_UNKNOWN|DEAD|N/A
.phase8_30_00_signal_enriched_recommendations|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_08.contracts.phase7_to_phase8_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_08.contracts.phase8_input_contract|ERA_MODERN|DEAD|N/A
hypothesis.types|ERA_UNKNOWN|DEAD|N/A
.phase8_10_00_generative_testing|ERA_UNKNOWN|DEAD|N/A
.phase8_20_00_recommendation_engine|ERA_UNKNOWN|DEAD|N/A
.phase8_20_01_recommendation_engine_adapter|ERA_UNKNOWN|DEAD|N/A
.interfaces|ERA_UNKNOWN|DEAD|N/A
.primitives.PHASE_8_CONSTANTS|ERA_BOOTSTRAP|DEAD|N/A
.PHASE_8_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
.PHASE_8_ENUMS|ERA_UNKNOWN|DEAD|N/A
.PHASE_8_TYPES|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.analysis.recommendation_engine|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_settings|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.phase4_20_00_choquet_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.phase3_10_00_empirical_thresholds_loader|ERA_MODERN|DEAD|N/A
collections. abc|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_03|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.contracts.phase5_input_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.contracts.phase4_input_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.contracts.phase4_mission_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.contracts.phase4_output_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.primitives|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_choquet_adapter|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_aggregation_settings|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.enhancements|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_60_00_aggregation_validation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.PHASE_4_CONSTANTS|ERA_MODERN|LIVE|N/A
.phase4_00_00_aggregation_settings|ERA_UNKNOWN|DEAD|N/A
.phase4_00_00_choquet_primitives|ERA_BOOTSTRAP|DEAD|N/A
.phase4_00_00_quality_levels|ERA_UNKNOWN|DEAD|N/A
.phase4_00_00_signal_enriched_primitives|ERA_BOOTSTRAP|DEAD|N/A
.phase4_00_00_types|ERA_UNKNOWN|DEAD|N/A
.phase4_00_00_uncertainty_metrics|ERA_UNKNOWN|DEAD|N/A
.phase4_40_00_adaptive_meso_scoring|ERA_UNKNOWN|DEAD|N/A
.phase4_40_00_aggregation_enhancements|ERA_UNKNOWN|DEAD|N/A
..PHASE_4_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.aggregation_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.processing.uncertainty_quantification|ERA_MODERN|DEAD|N/A
..contracts.phase03_input_contract|ERA_UNKNOWN|DEAD|N/A
..contracts.phase03_output_contract|ERA_UNKNOWN|DEAD|N/A
.phase3_05_00_nexus_interface_validator|ERA_UNKNOWN|DEAD|N/A
..primitives.phase3_00_00_quality_levels|ERA_BOOTSTRAP|DEAD|N/A
farfan_pipeline.phases.Phase_03.phase3_22_00_validation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.phase3_20_00_score_extraction|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.contracts.phase03_input_contract|ERA_MODERN|DEAD|N/A
.contracts.phase03_input_contract|ERA_UNKNOWN|DEAD|N/A
.contracts.phase03_output_contract|ERA_UNKNOWN|DEAD|N/A
.interphase.phase3_05_00_nexus_interface_validator|ERA_UNKNOWN|DEAD|N/A
.phase3_20_00_score_extraction|ERA_UNKNOWN|DEAD|N/A
.phase3_22_00_validation|ERA_UNKNOWN|DEAD|N/A
.phase3_24_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A
.phase3_26_00_normative_compliance_validator|ERA_UNKNOWN|DEAD|N/A
.PHASE_03_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
.primitives.phase3_00_00_quality_levels|ERA_BOOTSTRAP|DEAD|N/A
.primitives.phase3_00_00_scoring_modalities|ERA_BOOTSTRAP|DEAD|N/A
.phase3_00_00_mathematical_foundation|ERA_UNKNOWN|DEAD|N/A
.phase3_00_00_quality_levels|ERA_UNKNOWN|DEAD|N/A
.phase3_00_00_scoring_modalities|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_03.phase3_15_00_empirical_thresholds_loader|ERA_MODERN|LIVE|N/A
farfan_pipeline.config.threshold_config|ERA_MODERN|LIVE|N/A
numbers|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.interphase.phase1_phase2_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.interphase.phase2_phase3_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_intelligence_layer|ERA_MODERN|DEAD|N/A
.questionnaire_signal_registry|ERA_UNKNOWN|DEAD|N/A
prometheus_client|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_10_00_canonical_questionnaire|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_60_04_calibration_policy|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.contracts.phase2_10_00_input_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.contracts.phase2_10_01_mission_contract|ERA_MODERN|LIVE|N/A
