# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.structural|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.epistemic|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.contrast|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase7.phase7_meso_consumer|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.bus|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.integrity|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.signal_auditor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_map|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_executor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_context_scoper|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.executor_config|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_03.contracts.phase03_output_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.carver|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase0_input_validation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase1_models|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.cpp_models|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.linters.mypy_fallback_plugin|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_validation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.financial_chain_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.base_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.causal_verb_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration.task_planner|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_95_03_executor_calibration_integration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.methods.causal_structure_learning|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_four_five_six_seven.adaptive_meso_scoring|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
classification.hash_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.chain_layer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
hypothesis|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_40_00_input_validation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_20_02_determinism|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_50_01_exit_gates|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_10_01_runtime_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_90_01_verified_pipeline_runner|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.phase4_10_00_choquet_aggregator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.irrigation_synchronizer|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.interface.phase4_7_entry_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.validation.phase4_7_validation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation_integration|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.interface.phase4_7_exit_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_provenance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_integration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.phase4_10_00_uncertainty_quantification|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_provenance|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.primitives.phase4_10_00_quality_levels|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.phase4_10_00_phase_4_7_constants|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_enhanced_aggregators|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_adaptive_meso_scoring|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_signal_enriched_aggregation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.primitives.phase4_10_00_choquet_primitives|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.validation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.enhancements|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.uncertainty_quantification|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation_provenance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.choquet_aggregator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_four_five_six_seven.primitives.quality_levels|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.core.types|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
audit_macro_level_divergence|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
psutil  # noqa: F401|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase1_09_00_circuit_breaker|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
executor_calibration_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_08.phase8_20_00_recommendation_engine|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_08|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_08|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.phase1_12_01_pdm_integration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_30_00_resource_controller|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_one.phase1_60_00_signal_enrichment|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_three.phase3_signal_enriched_scoring|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.orchestration.canonical_executors|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_00_01_domain_errors|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration.calibration_types|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_03.phase3_10_00_phase3_signal_enriched_scoring|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.phase4_10_00_signal_enriched_aggregation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_08.phase8_30_00_signal_enriched_recommendations|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_09.phase9_10_00_signal_enriched_reporting|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.resilience|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.meta_layer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.contracts.phase1_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.contracts.phase1_output_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.interphase|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
scipy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.calibration_core|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.epistemic_core|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.type_defaults|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pdm_calibrator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
collections.abc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi.middleware.cors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.api.api_server|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.pdm_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pdm_structural_profile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.profile.pdm_structural_profile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contracts.pdm_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.utils.paths|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
jsonschema|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_10_00_paths|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.bayesian_diagnostics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bayesian_prior_builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bayesian_sampling_engine|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
numpy.typing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
arviz|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pymc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
matplotlib.pyplot|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bayesian_adapter|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06.phase6_10_00_cluster_score|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_07.phase7_10_00_macro_score|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_07.phase7_10_00_phase_7_constants|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_07.phase7_10_00_systemic_gap_detector|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_03.phase3_10_00_normative_compliance_validator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase7_10_00_phase_7_constants|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase7_10_00_macro_score|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase7_20_00_macro_aggregator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase7_10_00_systemic_gap_detector|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.phase4_10_00_uncertainty_quantification|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_settings|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_settings|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
collections. abc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.contractual.dura_lex.aggregation_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.processing.uncertainty_quantification|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.processing.aggregation_provenance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase4_10_00_adaptive_meso_scoring|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase4_10_00_enhanced_aggregators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase4_10_00_signal_enriched_aggregation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_05|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_05.contracts.phase5_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_03|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..phase4_10_00_phase_4_7_constants|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..PHASE_4_CONSTANTS|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase4_00_00_aggregation_settings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase4_00_00_types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_aggregation_settings|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.phase5_10_00_area_aggregation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_07.phase7_20_00_macro_aggregator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
orchestration.aggregation_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_05.phase5_10_00_area_score|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04.primitives|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.contracts.phase4_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.contracts.phase4_mission_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.contracts.phase4_output_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.phase4_10_00_choquet_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_types|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_03.phase3_10_00_empirical_thresholds_loader|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.core.canonical_notation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.enhancements|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.PHASE_4_CONSTANTS|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.phase4_10_00_phase4_7_validation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_05.PHASE_5_CONSTANTS|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.phase5_10_00_area_validation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.contracts.phase5_mission_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.contracts.phase5_output_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.phase5_10_00_area_integration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.PHASE_5_CONSTANTS|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase5_10_00_area_aggregation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase5_10_00_area_validation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase5_10_00_area_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contracts.phase5_input_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contracts.phase5_output_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contracts.phase5_mission_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_00_00_data_models|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.decorators|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_30_00_signal_enriched_recommendations|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.factory|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interface_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.recommendation_engine|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.PHASE_8_CONSTANTS|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.PHASE_8_ENUMS|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.PHASE_8_TYPES|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_eight.phase8_20_00_recommendation_engine|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_10_00_schema_validation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_20_02_generic_rule_engine|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_20_03_template_compiler|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_08.contracts.phase7_to_phase8_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_08.contracts.phase8_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
hypothesis.types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_10_00_generative_testing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_20_00_recommendation_engine|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase8_20_01_recommendation_engine_adapter|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interfaces|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.contracts.phase6_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.phase6_10_00_phase_6_constants|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase6_10_01_scoring_config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase6_10_00_cluster_score|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase6_30_00_cluster_aggregator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
base64|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
html|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_09.report_assembly|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
jinja2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
weasyprint|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
matplotlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.parameters|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.utils.hash_utils|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_09.phase9_10_00_report_assembly|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_09.phase9_10_00_report_generator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_09.phase9_15_00_institutional_entity_annex|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_50_00_boot_checks|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration.seed_registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_90_02_bootstrap|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.phase0_10_01_runtime_config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.methods.contradiction_deteccion|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
spacy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_00_03_protocols|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
fitz  # PyMuPDF|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
hmac|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
contextlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives.phase0_00_03_primitives|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.utils.contract_io|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
doctest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
io|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_00_03_primitives|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_10_03_executor_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_60_02_arg_router|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.providers|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_90_03_wiring_validator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
blake3|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.resource_controller|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_10_04_runtime_config_typed|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.runtime_error_fixes|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.constants|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
