# 07_DEPENDENCY_GRAVITY.txt
# Import frequency and centrality metrics
# Format: <module>|<import_count>|<source_file_count>|<centrality>

financiero_viabilidad_tablas|1|1|1.00
sklearn.metrics.pairwise|1|1|1.00
decimal|1|1|1.00
img2table.document|1|1|1.00
tabula|1|1|1.00
sklearn.cluster|1|1|1.00
econml.dml|1|1|1.00
econml.metalearners|1|1|1.00
sklearn.linear_model|1|1|1.00
farfan_pipeline.phases.Phase_00.phase0_00_02_runtime_error_fixes|1|1|1.00
farfan_pipeline.analysis.contradiction_deteccion|1|1|1.00
farfan_pipeline.methods.config_schemas|1|1|1.00
dotenv|1|1|1.00
.profile.pdm_structural_profile|1|1|1.00
.contracts.pdm_contracts|1|1|1.00
.pdm_contracts|1|1|1.00
.primitives.phase0_00_03_primitives|1|1|1.00
importlib.resources|1|1|1.00
fitz  # PyMuPDF|1|1|1.00
farfan_pipeline.methods.contradiction_deteccion|1|1|1.00
.resource_controller|1|1|1.00
farfan_pipeline.phases.Phase_00.phase0_00_03_primitives|1|1|1.00
farfan_pipeline.phases.Phase_00.phase0_00_01_domain_errors|1|1|1.00
farfan_pipeline.phases.Phase_00.phase0_90_00_main|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.constants|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.coverage_gate|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.json_logger|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.performance_metrics|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.runtime_error_fixes|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.schema_monitor|1|1|1.00
farfan_pipeline.phases.Phase_00.primitives.signature_validator|1|1|1.00
farfan_pipeline.phases.Phase_00.phase0_10_04_runtime_config_typed|1|1|1.00
.phase0_90_01_verified_pipeline_runner|1|1|1.00
.primitives.constants|1|1|1.00
.phase0_10_01_runtime_config|1|1|1.00
.phase1_06_00_questionnaire_mapper|1|1|1.00
.phase1_12_01_pdm_integration|1|1|1.00
farfan_pipeline.phases.Phase_01.contracts.phase1_constitutional_contract|1|1|1.00
.phase1_protocols|1|1|1.00
.phase1_types|1|1|1.00
psutil  # type: ignore|1|1|1.00
glob|1|1|1.00
farfan_pipeline.calibration.uoa_sensitive|1|1|1.00
farfan_pipeline.calibration.runtime_context|1|1|1.00
.primitives.truncation_audit|1|1|1.00
.primitives.streaming_extractor|1|1|1.00
.phase1_01_00_cpp_models|1|1|1.00
.phase1_09_00_circuit_breaker|1|1|1.00
langdetect|1|1|1.00
fitz  # PyMuPDF for PDF extraction|1|1|1.00
.phase1_12_00_structural|1|1|1.00
.streaming_extractor|1|1|1.00
.truncation_audit|1|1|1.00
farfan_pipeline.phases.Phase_01.phase1_07_00_sp4_question_aware|1|1|1.00
farfan_pipeline.phases.Phase_01.phase1_11_00_signal_enrichment|1|1|1.00
.contract_generator|1|1|1.00
. method_expander|1|1|1.00
. input_registry|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_intelligence_layer|1|1|1.00
orchestration.seed_registry|1|1|1.00
farfan_pipeline.validators.phase1_output_validator|1|1|1.00
farfan_pipeline.phases.Phase_zero.phase0_90_01_verified_pipeline_runner|1|1|1.00
cross_cutting_infrastructure.irrigation_using_signals.SISAS.signal_loader|1|1|1.00
farfan_pipeline.processing.policy_processor|1|1|1.00
signal|1|1|1.00
requests|1|1|1.00
farfan_pipeline.phases.Phase_00.phase0_10_00_canonical_questionnaire|1|1|1.00
farfan_pipeline.phases.Phase_02.phase2_40_02_schema_validation|1|1|1.00
farfan_pipeline.phases.Phase_02.phase2_40_00_synchronization|1|1|1.00
farfan_pipeline.phases.Phase_02.phase2_40_01_executor_chunk_synchronizer|1|1|1.00
farfan_pipeline.phases.Phase_02.evidence_nexus|1|1|1.00
farfan_pipeline.phases.Phase_02.calibration_policy|1|1|1.00
structlog  # type: ignore|1|1|1.00
orchestration.method_signature_validator|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_semantic_expander|1|1|1.00
textstat  # Flesch-Kincaid readability|1|1|1.00
phase2_30_05_distributed_cache|1|1|1.00
phase2_50_02_batch_optimizer|1|1|1.00
phase2_95_05_execution_predictor|1|1|1.00
.questionnaire_signal_registry|1|1|1.00
farfan_pipeline.calibration.calibration_core|1|1|1.00
farfan_pipeline.calibration.epistemic_core|1|1|1.00
.contracts.phase03_input_contract|1|1|1.00
.contracts.phase03_output_contract|1|1|1.00
.interphase.phase3_05_00_nexus_interface_validator|1|1|1.00
.phase3_20_00_score_extraction|1|1|1.00
.phase3_22_00_validation|1|1|1.00
.phase3_24_00_signal_enriched_scoring|1|1|1.00
.primitives.phase3_00_00_quality_levels|1|1|1.00
.primitives.phase3_00_00_scoring_modalities|1|1|1.00
..primitives.phase3_00_00_quality_levels|1|1|1.00
..contracts.phase03_input_contract|1|1|1.00
..contracts.phase03_output_contract|1|1|1.00
.phase3_05_00_nexus_interface_validator|1|1|1.00
.phase3_00_00_scoring_modalities|1|1|1.00
numbers|1|1|1.00
farfan_pipeline.phases.Phase_03.phase3_15_00_empirical_thresholds_loader|1|1|1.00
farfan_pipeline.config.threshold_config|1|1|1.00
farfan_pipeline.phases.Phase_03.phase3_20_00_score_extraction|1|1|1.00
farfan_pipeline.phases.Phase_03.contracts.phase03_input_contract|1|1|1.00
farfan_pipeline.phases.Phase_03.contracts.phase03_output_contract|1|1|1.00
farfan_pipeline.phases.Phase_04.enhancements|1|1|1.00
farfan_pipeline.phases.Phase_04.PHASE_4_CONSTANTS|1|1|1.00
farfan_pipeline.phases.Phase_3|1|1|1.00
.phase4_10_00_adaptive_meso_scoring|1|1|1.00
.phase4_10_00_enhanced_aggregators|1|1|1.00
.phase4_10_00_signal_enriched_aggregation|1|1|1.00
farfan_pipeline.processing.aggregation_provenance|1|1|1.00
farfan_pipeline.phases.Phase_03.phase3_10_00_empirical_thresholds_loader|1|1|1.00
farfan_pipeline.phases.Phase_07.phase7_20_00_macro_aggregator|1|1|1.00
orchestration.aggregation_integration|1|1|1.00
collections. abc|1|1|1.00
.phase4_00_00_aggregation_settings|1|1|1.00
.phase4_00_00_types|1|1|1.00
..phase4_10_00_phase_4_7_constants|1|1|1.00
..PHASE_4_CONSTANTS|1|1|1.00
farfan_pipeline.phases.Phase_4|1|1|1.00
.phase4_10_00_phase4_7_validation|1|1|1.00
.PHASE_5_CONSTANTS|1|1|1.00
.phase5_10_00_area_aggregation|1|1|1.00
.phase5_10_00_area_validation|1|1|1.00
.phase5_10_00_area_integration|1|1|1.00
.contracts.phase5_input_contract|1|1|1.00
.contracts.phase5_output_contract|1|1|1.00
.contracts.phase5_mission_contract|1|1|1.00
farfan_pipeline.phases.Phase_05.phase5_10_00_area_integration|1|1|1.00
.phase6_10_01_scoring_config|1|1|1.00
.phase6_10_00_cluster_score|1|1|1.00
.phase6_30_00_cluster_aggregator|1|1|1.00
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|1|1|1.00
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|1|1|1.00
farfan_pipeline.phases.Phase_06.contracts.phase6_input_contract|1|1|1.00
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|1|1|1.00
.phase7_10_00_phase_7_constants|1|1|1.00
.phase7_10_00_macro_score|1|1|1.00
.phase7_20_00_macro_aggregator|1|1|1.00
.phase7_10_00_systemic_gap_detector|1|1|1.00
farfan_pipeline.phases.Phase_03.phase3_10_00_normative_compliance_validator|1|1|1.00
farfan_pipeline.phases.Phase_07.phase7_10_00_phase_7_constants|1|1|1.00
.phase8_10_00_schema_validation|1|1|1.00
.phase8_20_02_generic_rule_engine|1|1|1.00
.phase8_20_03_template_compiler|1|1|1.00
farfan_pipeline.phases.Phase_eight.phase8_20_00_recommendation_engine|1|1|1.00
farfan_pipeline.analysis.recommendation_engine|1|1|1.00
.PHASE_8_CONSTANTS|1|1|1.00
.PHASE_8_ENUMS|1|1|1.00
.PHASE_8_TYPES|1|1|1.00
.phase8_10_00_generative_testing|1|1|1.00
hypothesis.types|1|1|1.00
farfan_pipeline.phases.Phase_08.contracts.phase8_input_contract|1|1|1.00
farfan_pipeline.utils.hash_utils|1|1|1.00
html|1|1|1.00
farfan_pipeline.phases.Phase_09.phase9_10_00_report_assembly|1|1|1.00
farfan_pipeline.phases.Phase_09.phase9_10_00_report_generator|1|1|1.00
farfan_pipeline.phases.Phase_09.phase9_15_00_institutional_entity_annex|1|1|1.00
farfan_pipeline.phases.Phase_4.phase4_10_00_uncertainty_quantification|1|1|1.00
farfan_pipeline.phases.Phase_4.phase4_10_00_aggregation_settings|1|1|1.00
farfan_pipeline.api.api_server|1|1|1.00
fastapi.middleware.cors|1|1|1.00
farfan_pipeline.entrypoint.main|1|1|1.00
farfan_pipeline.orchestration.cli|1|1|1.00
farfan_pipeline.calibration.type_defaults|1|1|1.00
fastapi.testclient|1|1|1.00
farfan_pipeline.dashboard_atroz_.ingestion|1|1|1.00
farfan_pipeline.dashboard_atroz_.api_v1_store|1|1|1.00
farfan_pipeline.phases.Phase_01.phase1_12_01_pdm_integration|1|1|1.00
farfan_pipeline.pdm.profiles|1|1|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.alignment_stability|1|1|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.permutation_invariance|1|1|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.risk_certificate|1|1|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.routing_contract|1|1|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.retriever_contract|1|1|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.snapshot_contract|1|1|1.00
farfan_pipeline.phases.Phase_01.interphase|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation_integration|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.interface.phase4_7_exit_contract|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.uncertainty_quantification|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation_provenance|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.choquet_aggregator|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.primitives.quality_levels|1|1|1.00
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_integration|1|1|1.00
farfan_pipeline.phases.Phase_04.primitives.phase4_10_00_quality_levels|1|1|1.00
farfan_pipeline.phases.Phase_04.phase4_10_00_phase_4_7_constants|1|1|1.00
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_enhanced_aggregators|1|1|1.00
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_adaptive_meso_scoring|1|1|1.00
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_signal_enriched_aggregation|1|1|1.00
farfan_pipeline.phases.Phase_8|1|1|1.00
farfan_pipeline.phases.Phase_08|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.financial_chain_extractor|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.causal_verb_extractor|1|1|1.00
farfan_pipeline.phases.Phase_four_five_six_seven.adaptive_meso_scoring|1|1|1.00
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_enhancements|1|1|1.00
farfan_pipeline.phases.Phase_zero.runtime_config|1|1|1.00
farfan_pipeline.phases.Phase_zero.exit_gates|1|1|1.00
farfan_pipeline.phases.Phase_02.contract_validator_cqvr|1|1|1.00
farfan_pipeline.inference.bayesian_prior_builder|1|1|1.00
farfan_pipeline.inference.bayesian_sampling_engine|1|1|1.00
farfan_pipeline.inference.bayesian_diagnostics|1|1|1.00
orchestration.chain_layer|1|1|1.00
classification.hash_utils|1|1|1.00
farfan_pipeline.calibration.core|1|1|1.00
orchestration.executor_chunk_synchronizer|1|1|1.00
farfan_pipeline.phases.Phase_02.contract_generator.input_registry|1|1|1.00
audit_macro_level_divergence|1|1|1.00
farfan_pipeline.analysis.scoring.mathematical_foundation|1|1|1.00
farfan_pipeline.phases.Phase_one.phase0_input_validation|1|1|1.00
farfan_pipeline.phases.Phase_one.cpp_models|1|1|1.00
farfan_pipeline.analysis.scoring.scoring|1|1|1.00
farfan_pipeline.analysis.scoring.nexus_scoring_validator|1|1|1.00
farfan_pipeline.phases.Phase_02.executor_config|1|1|1.00
farfan_core.farfan_core.core.performance_metrics|1|1|1.00
farfan_pipeline.phases.Phase_zero.phase0_30_00_resource_controller|1|1|1.00
farfan_pipeline.phases.Phase_one.phase1_09_00_circuit_breaker|1|1|1.00
farfan_pipeline.phases.Phase_one.phase1_03_00_models|1|1|1.00
farfan_pipeline.phases.Phase_one.PHASE_1_CONSTANTS|1|1|1.00
farfan_pipeline.phases.Phase_one|1|1|1.00
farfan_pipeline.phases.Phase_one.phase1_07_00_sp4_question_aware|1|1|1.00
farfan_pipeline.phases.Phase_one.phase1_11_00_signal_enrichment|1|1|1.00
farfan_pipeline.orchestration.task_planner|1|1|1.00
executor_calibration_integration|1|1|1.00
verify_phase2_labels|1|1|1.00
orchestration.settings|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_loader|1|1|1.00
farfan_pipeline.phases.Phase_zero.phase0_90_02_bootstrap|1|1|1.00
farfan_pipeline.methods.processor_config_schema|1|1|1.00
pylint.testutils|1|1|1.00
farfan_pipeline.linters.pylint_unreachable_fallback|1|1|1.00
farfan_pipeline.phases.Phase_zero.runtime_config_schema|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_wiring_fixes|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.comprehensive_signal_audit|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.signal_auditor|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase7.phase7_meso_consumer|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.scripts.generate_contracts|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.integrity|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.epistemic|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.contrast|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_method_metadata|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_validation_specs|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_scoring_context|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_semantic_context|1|1|1.00
